date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,Team1 Win
04-11-2019,2020,0,,MIN,MIL,1517.573102,1663.872367,0.43376163,0.56623837,1500.174516,1681.270953,1507.463895,1713.924339,0.346069531,0.653930469,1494.238221,1727.150013,1497.895288,1645.4927,0.426164227,0.573835773,106,134,loose
04-11-2019,2020,0,,PHO,PHI,1411.33306,1614.798976,0.355351517,0.644648483,1421.225119,1604.906916,1367.768065,1642.396733,0.268389427,0.731610573,1379.732757,1630.432041,1487.911216,1542.033594,0.566240062,0.433759938,114,109,win
04-11-2019,2020,0,,GSW,POR,1533.665263,1598.784644,0.550029276,0.449970724,1542.187336,1590.262572,1568.645841,1635.348482,0.541849978,0.458150022,1577.361706,1626.632617,1189.946438,1522.759995,0.203580413,0.796419587,127,118,win
05-11-2019,2020,0,,CHO,IND,1479.654288,1499.980185,0.612691736,0.387308264,1483.172859,1496.461614,1479.373478,1496.207557,0.60007899,0.39992101,1483.03189,1492.549145,1345.075795,1447.216084,0.478695962,0.521304038,122,120,win
05-11-2019,2020,0,,CLE,BOS,1344.121893,1596.325359,0.293975485,0.706024515,1340.068928,1600.378324,1289.535979,1627.063546,0.20453675,0.79546325,1286.87499,1629.724535,1361.34776,1557.255756,0.367501792,0.632498208,113,119,loose
05-11-2019,2020,0,,ATL,SAS,1432.761929,1563.777148,0.455483697,0.544516303,1442.901171,1553.637906,1408.020922,1578.977465,0.408685774,0.591314226,1419.339434,1567.658953,1327.827483,1472.958293,0.445038953,0.554961047,108,100,win
05-11-2019,2020,0,,OKC,ORL,1539.882962,1507.84527,0.681368943,0.318631057,1545.116087,1502.612145,1558.762036,1527.817865,0.691751937,0.308248063,1563.794113,1522.785789,1532.506219,1530.0215,0.655769256,0.344230744,102,94,win
05-11-2019,2020,0,,CHI,LAL,1349.990748,1526.559614,0.391558504,0.608441496,1344.284645,1532.265717,1309.16223,1526.255097,0.341396579,0.658603421,1304.324172,1531.093155,1458.909716,1600.41922,0.44473078,0.55526922,112,118,loose
05-11-2019,2020,0,,DEN,MIA,1583.752948,1554.258989,0.678181482,0.321818518,1593.306222,1544.705715,1592.832782,1561.3242,0.72854321,0.27145679,1600.652918,1553.504064,1657.289198,1499.098885,0.847675221,0.152324779,109,89,win
06-11-2019,2020,0,,IND,WAS,1496.461614,1436.564425,0.7151322,0.2848678,1503.262299,1429.76374,1492.549145,1426.401323,0.664730113,0.335269887,1500.792794,1418.157674,1440.621914,1425.111224,0.596993734,0.403006266,121,106,win
